municipio;parroquia;nombre;tipo_centro;situacion;latitud;longitud
MP. L/DIEGO BAUTISTA;PQ. LECHERIAS;UNIDAD EDUCATIVA MARIA AUXILIADORA;UNIDAD EDUCATIVA;Cerrado;10.19573901;-64.69471098
MP. BOLIVAR;PQ. SAN CRISTOBAL;ESCUELA RURAL DE EDUCACION BASICA LA PONDEROSA;EDUCACION BASICA;Cerrado;10.10131497;-64.67502897
MP. BOLIVAR;PQ. EL CARMEN;GRUPO ESCOLAR ANGEL CELESTINO BELLO;GRUPO ESCOLAR;Cerrado;10.14850899;-64.67312799
MP. FREITES;PQ. LIBERTADOR;ESCUELA NACIONAL UNITARIA NUMERO 1760 EL BUCARE;EDUCACION BASICA;Cerrado;9.98614197;-64.09160397
MP. BOLIVAR;PQ. SAN CRISTOBAL;CENTRO DE EDUCACION INICIAL LA PONDEROSA;EDUCACION INICIAL;Cerrado;10.10205702;-64.676421
MP. BOLIVAR;PQ. EL CARMEN;CENTRO DE EDUCACION INICIAL SORFANNY ALFONSO;EDUCACION INICIAL;Cerrado;10.14912603;-64.61976699
MP. L/DIEGO BAUTISTA;PQ. LECHERIAS;COLEGIO FRANCISCO LINARES ALCANTARA;EDUCACION BASICA Y SECUNDARIA;Cerrado;10.19616399;-64.69564896
MP. FREITES;PQ. LIBERTADOR;UNIDAD EDUCATIVA NACIONAL RAFAEL CABALLERO SARMIENTO;UNIDAD EDUCATIVA;Cerrado;9.94833198;-64.05899004
MP. BOLIVAR;PQ. SAN CRISTOBAL;UNIDAD EDUCATIVA DOCTOR LUIS BELTRAN PRIETO FIGUEROA;UNIDAD EDUCATIVA;Cerrado;10.10343996;-64.67586597
MP. SOTILLO;PQ. POZUELOS;ESCUELA CONCENTRADA PROVISOR;EDUCACION BASICA;Cerrado;10.14984603;-64.62315396
MP. SIMON RODRIGUEZ;CM. EL TIGRE;ESCUELA UNITARIA NUMERO 197 LAS PIEDRAS DEL CARIS;EDUCACION BASICA;Cerrado;8.69758497;-64.17704997
MP. SOTILLO;PQ. POZUELOS;ESCUELA CONCENTRADA MIXTA NUMERO 2128 CARRIZALES;EDUCACION BASICA;Cerrado;10.11417102;-64.72355301
